weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Magazine,Stability,Zoom,Recoil
3,CERBERUS+1,Exotic,Any,Kinetic,Auto Rifle,33.0,0.0,32.0,35.0,60.0,59.0,16.0,360.0,31.0,25.0,16.0,86.0
4,MONTE CARLO,Exotic,Any,Kinetic,Auto Rifle,21.0,45.0,60.0,79.0,50.0,52.0,29.0,600.0,43.0,55.0,15.0,80.0
5,QUICKSILVER STORM,Exotic,Any,Kinetic,Auto Rifle,18.0,40.0,48.0,54.0,83.0,59.0,26.0,720.0,51.0,85.0,16.0,88.0
6,SUROS REGIME,Exotic,Any,Kinetic,Auto Rifle,21.0,45.0,64.0,63.0,68.0,0.0,31.0,600.0,25.0,43.0,16.0,50.0
7,SWEET BUSINESS,Exotic,Any,Kinetic,Auto Rifle,18.0,30.0,0.0,0.0,80.0,80.0,32.0,360.0,45.0,40.0,16.0,100.0
37,HARD LIGHT,Exotic,Any,Energy,Auto Rifle,21.0,40.0,72.0,64.0,100.0,40.0,31.0,600.0,49.0,65.0,16.0,100.0
38,TOMMY'S MATCHBOOK,Exotic,Any,Energy,Auto Rifle,18.0,43.0,58.0,20.0,81.0,56.0,26.0,720.0,72.0,44.0,16.0,64.0
107,BRAYTECH WEREWOLF,Legendary,Any,Kinetic,Auto Rifle,29.0,69.0,39.0,42.0,47.0,55.0,15.0,450.0,34.0,41.0,16.0,74.0
108,BRAYTECH WEREWOLF,Legendary,Any,Kinetic,Auto Rifle,29.0,69.0,39.0,42.0,47.0,55.0,15.0,450.0,34.0,41.0,16.0,74.0
109,BRAYTECH WINTER WOLF,Legendary,Any,Kinetic,Auto Rifle,29.0,69.0,39.0,42.0,47.0,55.0,10.0,450.0,34.0,41.0,16.0,74.0
110,BREAKNECK,Legendary,Any,Kinetic,Auto Rifle,29.0,64.0,37.0,46.0,44.0,45.0,10.0,450.0,34.0,45.0,16.0,80.0
111,CHROMA RUSH,Legendary,Any,Kinetic,Auto Rifle,18.0,25.0,35.0,47.0,80.0,54.0,10.0,720.0,51.0,56.0,16.0,45.0
112,DUTY BOUND,Legendary,Any,Kinetic,Auto Rifle,21.0,36.0,57.0,49.0,73.0,58.0,10.0,600.0,41.0,39.0,16.0,60.0
113,DUTY BOUND,Legendary,Any,Kinetic,Auto Rifle,21.0,36.0,63.0,49.0,73.0,58.0,18.0,600.0,41.0,39.0,18.0,60.0
114,DUTY BOUND (ADEPT),Legendary,Any,Kinetic,Auto Rifle,21.0,36.0,63.0,49.0,73.0,58.0,18.0,600.0,41.0,39.0,18.0,60.0
115,ETHER DOCTOR,Legendary,Any,Kinetic,Auto Rifle,21.0,38.0,61.0,52.0,61.0,46.0,10.0,600.0,41.0,40.0,16.0,47.0
116,FALSE PROMISES,Legendary,Any,Kinetic,Auto Rifle,33.0,72.0,35.0,38.0,52.0,54.0,10.0,360.0,32.0,29.0,20.0,86.0
117,FIREFRIGHT,Legendary,Any,Kinetic,Auto Rifle,29.0,58.0,41.0,44.0,38.0,54.0,17.0,450.0,34.0,41.0,17.0,61.0
118,FOREGONE CONCLUSION,Legendary,Any,Kinetic,Auto Rifle,18.0,22.0,41.0,50.0,76.0,51.0,10.0,720.0,51.0,49.0,16.0,42.0
119,GAHLRAN'S RIGHT HAND,Legendary,Any,Kinetic,Auto Rifle,33.0,81.0,39.0,32.0,56.0,51.0,10.0,360.0,32.0,17.0,16.0,85.0
120,GHOST PRIMUS,Legendary,Any,Kinetic,Auto Rifle,21.0,48.0,60.0,50.0,70.0,40.0,10.0,600.0,44.0,35.0,16.0,60.0
121,GUIDING STAR,Legendary,Any,Kinetic,Auto Rifle,18.0,30.0,33.0,41.0,66.0,60.0,10.0,720.0,52.0,41.0,16.0,40.0
122,HALFDAN-D,Legendary,Any,Kinetic,Auto Rifle,33.0,80.0,39.0,28.0,60.0,50.0,10.0,360.0,33.0,20.0,16.0,70.0
123,HALFDAN-D,Legendary,Any,Kinetic,Auto Rifle,33.0,80.0,39.0,28.0,60.0,50.0,10.0,360.0,33.0,20.0,16.0,70.0
124,HAZARD OF THE CAST,Legendary,Any,Kinetic,Auto Rifle,29.0,64.0,44.0,43.0,44.0,49.0,10.0,450.0,33.0,41.0,16.0,69.0
