weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Magazine,Stability,Zoom,Recoil
24,DEAD MAN'S TALE,Exotic,Any,Kinetic,Scout Rifle,67.0,60.0,50.0,50.0,60.0,55.0,17.0,120.0,14.0,30.0,18.0,89.0
25,MIDA MULTI-TOOL,Exotic,Any,Kinetic,Scout Rifle,60.0,35.0,80.0,80.0,100.0,60.0,25.0,200.0,16.0,30.0,20.0,80.0
26,THE JADE RABBIT,Exotic,Any,Kinetic,Scout Rifle,67.0,80.0,21.0,54.0,60.0,30.0,29.0,150.0,10.0,40.0,20.0,100.0
27,TOUCH OF MALICE,Exotic,Any,Kinetic,Scout Rifle,45.0,53.0,40.0,46.0,40.0,58.0,25.0,260.0,11.0,36.0,20.0,85.0
54,POLARIS LANCE,Exotic,Any,Energy,Scout Rifle,67.0,70.0,29.0,33.0,39.0,55.0,27.0,150.0,14.0,50.0,21.0,77.0
55,SKYBURNER'S OATH,Exotic,Any,Energy,Scout Rifle,67.0,70.0,60.0,50.0,90.0,60.0,35.0,150.0,17.0,50.0,21.0,100.0
56,SYMMETRY,Exotic,Any,Energy,Scout Rifle,45.0,20.0,31.0,15.0,75.0,60.0,23.0,260.0,20.0,49.0,20.0,85.0
240,CALL TO SERVE,Legendary,Any,Kinetic,Scout Rifle,62.0,41.0,41.0,45.0,58.0,53.0,10.0,180.0,16.0,40.0,20.0,66.0
241,DOES NOT COMPUTE,Legendary,Any,Kinetic,Scout Rifle,67.0,60.0,28.0,37.0,39.0,50.0,10.0,150.0,12.0,16.0,21.0,80.0
242,DOES NOT COMPUTE,Legendary,Any,Kinetic,Scout Rifle,67.0,60.0,28.0,37.0,39.0,50.0,10.0,150.0,12.0,16.0,21.0,80.0
243,FRONTIER JUSTICE,Legendary,Any,Kinetic,Scout Rifle,67.0,72.0,24.0,31.0,35.0,54.0,10.0,150.0,13.0,18.0,21.0,79.0
244,GARDEN PROGENY 1,Legendary,Any,Kinetic,Scout Rifle,67.0,67.0,28.0,35.0,38.0,58.0,10.0,150.0,14.0,26.0,21.0,73.0
245,GOOD COUNSEL IX,Legendary,Any,Kinetic,Scout Rifle,67.0,65.0,30.0,30.0,29.0,53.0,10.0,150.0,13.0,21.0,21.0,73.0
246,HAUNTED EARTH,Legendary,Any,Kinetic,Scout Rifle,67.0,67.0,24.0,32.0,28.0,52.0,10.0,150.0,12.0,20.0,21.0,71.0
247,HUNG JURY SR4,Legendary,Any,Kinetic,Scout Rifle,62.0,49.0,50.0,46.0,67.0,60.0,22.0,180.0,16.0,55.0,22.0,75.0
248,HUNG JURY SR4 (ADEPT),Legendary,Any,Kinetic,Scout Rifle,62.0,49.0,50.0,46.0,67.0,60.0,22.0,180.0,16.0,55.0,22.0,75.0
249,IMPERATIVE,Legendary,Any,Kinetic,Scout Rifle,67.0,65.0,22.0,30.0,33.0,53.0,10.0,150.0,13.0,20.0,21.0,80.0
250,NAMELESS MIDNIGHT,Legendary,Any,Kinetic,Scout Rifle,62.0,40.0,41.0,44.0,62.0,46.0,10.0,180.0,16.0,38.0,20.0,79.0
251,NAMELESS MIDNIGHT,Legendary,Any,Kinetic,Scout Rifle,62.0,40.0,41.0,44.0,62.0,46.0,10.0,180.0,16.0,38.0,20.0,79.0
252,NIFLHEIM FROST,Legendary,Any,Kinetic,Scout Rifle,62.0,40.0,45.0,42.0,62.0,59.0,10.0,180.0,16.0,41.0,20.0,80.0
253,NIGHT WATCH,Legendary,Any,Kinetic,Scout Rifle,60.0,37.0,65.0,58.0,69.0,49.0,10.0,200.0,16.0,35.0,20.0,57.0
254,PATRON OF LOST CAUSES,Legendary,Any,Kinetic,Scout Rifle,60.0,33.0,63.0,53.0,67.0,52.0,10.0,200.0,15.0,32.0,20.0,59.0
255,PERSES-D,Legendary,Any,Kinetic,Scout Rifle,67.0,68.0,31.0,33.0,36.0,45.0,12.0,150.0,14.0,22.0,22.0,74.0
256,PURPOSE,Legendary,Any,Kinetic,Scout Rifle,60.0,35.0,69.0,55.0,72.0,55.0,10.0,200.0,16.0,44.0,20.0,60.0
257,RANDY'S THROWING KNIFE,Legendary,Any,Kinetic,Scout Rifle,45.0,23.0,20.0,28.0,63.0,48.0,10.0,260.0,17.0,39.0,20.0,59.0
258,SERVANT LEADER,Legendary,Any,Kinetic,Scout Rifle,45.0,24.0,18.0,29.0,67.0,50.0,10.0,260.0,17.0,42.0,26.0,54.0
259,SONG OF JUSTICE VI,Legendary,Any,Kinetic,Scout Rifle,67.0,70.0,29.0,32.0,39.0,50.0,10.0,150.0,12.0,18.0,21.0,75.0
260,TALONS OF THE EAGLE,Legendary,Any,Kinetic,Scout Rifle,67.0,68.0,26.0,32.0,30.0,59.0,10.0,150.0,14.0,29.0,21.0,71.0
261,TEARS OF CONTRITION,Legendary,Any,Kinetic,Scout Rifle,62.0,47.0,46.0,39.0,60.0,53.0,13.0,180.0,16.0,49.0,19.0,70.0
262,TELEMACHUS-C,Legendary,Any,Kinetic,Scout Rifle,67.0,63.0,23.0,32.0,30.0,53.0,10.0,150.0,13.0,20.0,20.0,70.0
263,THE DREAM,Legendary,Any,Kinetic,Scout Rifle,67.0,68.0,24.0,32.0,33.0,48.0,10.0,150.0,14.0,23.0,21.0,77.0
264,THE GUIDING SIGHT,Legendary,Any,Kinetic,Scout Rifle,67.0,65.0,27.0,36.0,30.0,40.0,10.0,150.0,13.0,24.0,21.0,75.0
