weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Magazine,Stability,Zoom,Recoil
33,IZANAGI'S BURDEN,Exotic,Any,Kinetic,Sniper Rifle,70.0,48.0,47.0,40.0,62.0,60.0,6.0,90.0,4.0,41.0,45.0,73.0
62,BOREALIS,Exotic,Any,Energy,Sniper Rifle,90.0,49.0,70.0,65.0,65.0,55.0,12.0,72.0,4.0,47.0,45.0,55.0
63,CLOUDSTRIKE,Exotic,Any,Energy,Sniper Rifle,55.0,60.0,46.0,40.0,68.0,70.0,7.0,140.0,7.0,49.0,50.0,68.0
93,D.A.R.C.I.,Exotic,Any,Power,Sniper Rifle,55.0,30.0,75.0,60.0,60.0,60.0,18.0,140.0,5.0,75.0,40.0,100.0
94,WHISPER OF THE WORM,Exotic,Any,Power,Sniper Rifle,100.0,75.0,28.0,36.0,39.0,50.0,20.0,72.0,3.0,15.0,40.0,74.0
314,ALONE AS A GOD,Legendary,Any,Kinetic,Sniper Rifle,55.0,33.0,66.0,61.0,79.0,45.0,2.0,140.0,5.0,36.0,45.0,57.0
315,BITE OF THE FOX,Legendary,Any,Kinetic,Sniper Rifle,90.0,70.0,25.0,25.0,41.0,38.0,2.0,72.0,3.0,20.0,43.0,68.0
316,DEFIANCE OF YASMIN,Legendary,Any,Kinetic,Sniper Rifle,70.0,54.0,46.0,42.0,68.0,35.0,4.0,90.0,4.0,46.0,40.0,62.0
317,DEFIANCE OF YASMIN (HARROWED),Legendary,Any,Kinetic,Sniper Rifle,70.0,54.0,46.0,42.0,68.0,35.0,4.0,90.0,4.0,46.0,40.0,62.0
318,DREADED VENTURE,Legendary,Any,Kinetic,Sniper Rifle,90.0,71.0,23.0,32.0,49.0,39.0,2.0,72.0,3.0,28.0,45.0,76.0
319,EYE OF SOL,Legendary,Any,Kinetic,Sniper Rifle,70.0,50.0,46.0,40.0,68.0,45.0,5.0,90.0,4.0,49.0,45.0,72.0
320,EYE OF SOL (ADEPT),Legendary,Any,Kinetic,Sniper Rifle,70.0,50.0,46.0,40.0,68.0,45.0,5.0,90.0,4.0,49.0,45.0,72.0
321,LONG SHADOW,Legendary,Any,Kinetic,Sniper Rifle,70.0,44.0,40.0,40.0,59.0,32.0,2.0,90.0,4.0,42.0,40.0,47.0
322,PRAEDYTH'S REVENGE,Legendary,Any,Kinetic,Sniper Rifle,55.0,34.0,70.0,63.0,78.0,60.0,2.0,140.0,5.0,40.0,49.0,55.0
323,PRAEDYTH'S REVENGE (TIMELOST),Legendary,Any,Kinetic,Sniper Rifle,55.0,34.0,70.0,63.0,78.0,60.0,2.0,140.0,5.0,40.0,49.0,55.0
324,REVOKER,Legendary,Any,Kinetic,Sniper Rifle,90.0,78.0,23.0,30.0,44.0,45.0,2.0,72.0,3.0,27.0,35.0,72.0
325,SHEPHERD'S WATCH,Legendary,Any,Kinetic,Sniper Rifle,70.0,47.0,38.0,37.0,60.0,32.0,2.0,90.0,4.0,42.0,50.0,71.0
326,SHEPHERD'S WATCH,Legendary,Any,Kinetic,Sniper Rifle,70.0,47.0,38.0,37.0,60.0,32.0,2.0,90.0,4.0,42.0,40.0,71.0
327,SHOW OF FORCE XF4865,Legendary,Any,Kinetic,Sniper Rifle,90.0,70.0,26.0,29.0,41.0,41.0,2.0,72.0,3.0,23.0,43.0,78.0
328,SILICON NEUROMA,Legendary,Any,Kinetic,Sniper Rifle,90.0,74.0,24.0,27.0,47.0,35.0,4.0,72.0,3.0,17.0,43.0,62.0
329,SILICON NEUROMA,Legendary,Any,Kinetic,Sniper Rifle,90.0,74.0,24.0,27.0,47.0,35.0,2.0,72.0,3.0,17.0,43.0,62.0
330,SILICON NEUROMA (ADEPT),Legendary,Any,Kinetic,Sniper Rifle,90.0,74.0,24.0,27.0,47.0,35.0,4.0,72.0,3.0,17.0,43.0,62.0
331,SUCCESSION,Legendary,Any,Kinetic,Sniper Rifle,90.0,76.0,30.0,35.0,48.0,50.0,2.0,72.0,3.0,23.0,50.0,80.0
332,THE FRIGID JACKAL,Legendary,Any,Kinetic,Sniper Rifle,70.0,50.0,46.0,43.0,69.0,36.0,2.0,90.0,4.0,44.0,49.0,80.0
333,THE SUPREMACY,Legendary,Any,Kinetic,Sniper Rifle,55.0,32.0,68.0,62.0,77.0,42.0,2.0,140.0,5.0,38.0,40.0,60.0
334,THOUGHTLESS,Legendary,Any,Kinetic,Sniper Rifle,70.0,51.0,45.0,44.0,67.0,48.0,2.0,90.0,4.0,49.0,46.0,79.0
335,TRANQUILITY,Legendary,Any,Kinetic,Sniper Rifle,70.0,47.0,47.0,36.0,61.0,40.0,2.0,90.0,4.0,37.0,45.0,62.0
667,1000 YARD STARE,Legendary,Any,Energy,Sniper Rifle,70.0,52.0,42.0,41.0,66.0,50.0,2.0,90.0,4.0,45.0,44.0,76.0
668,A SINGLE CLAP,Legendary,Any,Energy,Sniper Rifle,70.0,48.0,41.0,38.0,59.0,37.0,2.0,90.0,4.0,42.0,40.0,45.0
669,ADORED,Legendary,Any,Energy,Sniper Rifle,70.0,50.0,47.0,38.0,68.0,36.0,2.0,90.0,4.0,46.0,45.0,77.0
670,ANNIELLA,Legendary,Any,Energy,Sniper Rifle,55.0,37.0,71.0,61.0,73.0,41.0,2.0,140.0,5.0,38.0,35.0,60.0
671,APOSTATE,Legendary,Any,Energy,Sniper Rifle,55.0,36.0,65.0,61.0,73.0,51.0,2.0,140.0,5.0,41.0,40.0,49.0
672,ARCHIMEDES TRUTH,Legendary,Any,Energy,Sniper Rifle,55.0,30.0,62.0,57.0,73.0,38.0,2.0,140.0,5.0,33.0,35.0,60.0
673,BELFRY BOUNTY,Legendary,Any,Energy,Sniper Rifle,70.0,43.0,38.0,40.0,63.0,39.0,2.0,90.0,4.0,37.0,40.0,52.0
674,BELOVED,Legendary,Any,Energy,Sniper Rifle,70.0,50.0,47.0,38.0,68.0,36.0,2.0,90.0,4.0,46.0,40.0,77.0
675,BELOVED,Legendary,Any,Energy,Sniper Rifle,70.0,50.0,47.0,38.0,68.0,36.0,3.0,90.0,4.0,46.0,40.0,77.0
676,COPPERHEAD-4SN,Legendary,Any,Energy,Sniper Rifle,55.0,25.0,70.0,60.0,70.0,50.0,2.0,140.0,5.0,40.0,45.0,60.0
677,DISTANT TUMULUS,Legendary,Any,Energy,Sniper Rifle,55.0,29.0,63.0,57.0,72.0,47.0,2.0,140.0,5.0,30.0,45.0,52.0
678,DISTANT TUMULUS,Legendary,Any,Energy,Sniper Rifle,55.0,29.0,63.0,57.0,72.0,47.0,2.0,140.0,5.0,30.0,45.0,52.0
679,ELEGY-49,Legendary,Any,Energy,Sniper Rifle,70.0,40.0,40.0,40.0,60.0,35.0,2.0,90.0,4.0,40.0,40.0,60.0
680,ELEGY-49,Legendary,Any,Energy,Sniper Rifle,70.0,40.0,40.0,40.0,60.0,35.0,2.0,90.0,4.0,40.0,40.0,60.0
681,EYE OF FORESIGHT,Legendary,Any,Energy,Sniper Rifle,70.0,40.0,40.0,40.0,60.0,35.0,2.0,90.0,4.0,40.0,40.0,60.0
682,FAR FUTURE,Legendary,Any,Energy,Sniper Rifle,70.0,48.0,41.0,42.0,62.0,30.0,2.0,90.0,4.0,48.0,45.0,52.0
683,FATE CRIES FOUL,Legendary,Any,Energy,Sniper Rifle,70.0,42.0,41.0,38.0,60.0,31.0,2.0,90.0,4.0,41.0,40.0,48.0
684,FATHER'S SINS,Legendary,Any,Energy,Sniper Rifle,55.0,31.0,66.0,55.0,73.0,48.0,1.0,140.0,5.0,31.0,35.0,53.0
685,FROZEN ORBIT,Legendary,Any,Energy,Sniper Rifle,90.0,72.0,20.0,30.0,48.0,45.0,2.0,72.0,3.0,27.0,50.0,75.0
686,FUGUE-55,Legendary,Any,Energy,Sniper Rifle,70.0,54.0,47.0,45.0,66.0,45.0,3.0,90.0,4.0,49.0,50.0,74.0
687,GALLU RR3,Legendary,Any,Energy,Sniper Rifle,70.0,48.0,38.0,37.0,61.0,35.0,2.0,90.0,4.0,42.0,40.0,79.0
688,GENTLEMAN VAGABOND,Legendary,Any,Energy,Sniper Rifle,90.0,65.0,31.0,35.0,49.0,35.0,2.0,72.0,3.0,29.0,43.0,60.0
689,IKELOS_SR_V1.0.1,Legendary,Any,Energy,Sniper Rifle,55.0,30.0,67.0,57.0,73.0,45.0,2.0,140.0,5.0,39.0,45.0,57.0
690,IKELOS_SR_V1.0.2,Legendary,Any,Energy,Sniper Rifle,55.0,30.0,67.0,57.0,73.0,45.0,2.0,140.0,5.0,39.0,45.0,57.0
691,MAESTRO-46,Legendary,Any,Energy,Sniper Rifle,90.0,72.0,24.0,30.0,43.0,33.0,2.0,72.0,3.0,17.0,43.0,60.0
692,MAXIM XI,Legendary,Any,Energy,Sniper Rifle,70.0,54.0,44.0,35.0,51.0,30.0,2.0,90.0,4.0,40.0,40.0,62.0
693,MECHABRE,Legendary,Any,Energy,Sniper Rifle,90.0,74.0,26.0,30.0,41.0,45.0,5.0,72.0,3.0,28.0,45.0,77.0
694,OCCLUDED FINALITY,Legendary,Any,Energy,Sniper Rifle,90.0,75.0,30.0,34.0,47.0,59.0,3.0,72.0,3.0,29.0,58.0,77.0
695,OCCLUDED FINALITY,Legendary,Any,Energy,Sniper Rifle,90.0,75.0,30.0,34.0,47.0,59.0,2.0,72.0,3.0,29.0,43.0,77.0
696,OMNISCIENT EYE,Legendary,Any,Energy,Sniper Rifle,55.0,37.0,70.0,57.0,72.0,44.0,2.0,140.0,5.0,36.0,40.0,55.0
697,PERSUADER,Legendary,Any,Energy,Sniper Rifle,55.0,32.0,63.0,57.0,71.0,42.0,2.0,140.0,5.0,35.0,35.0,60.0
698,PERSUADER,Legendary,Any,Energy,Sniper Rifle,55.0,32.0,63.0,57.0,71.0,42.0,2.0,140.0,5.0,35.0,35.0,60.0
699,SHOW OF FORCE,Legendary,Any,Energy,Sniper Rifle,90.0,70.0,26.0,29.0,41.0,41.0,2.0,72.0,3.0,23.0,43.0,78.0
700,SOLE SURVIVOR,Legendary,Any,Energy,Sniper Rifle,70.0,45.0,42.0,43.0,51.0,41.0,2.0,90.0,4.0,36.0,40.0,80.0
701,TATARA GAZE,Legendary,Any,Energy,Sniper Rifle,90.0,71.0,26.0,35.0,45.0,43.0,2.0,72.0,3.0,23.0,50.0,79.0
702,THE DOMINO,Legendary,Any,Energy,Sniper Rifle,70.0,48.0,41.0,40.0,62.0,38.0,2.0,90.0,4.0,43.0,40.0,74.0
703,THE LONG GOODBYE,Legendary,Any,Energy,Sniper Rifle,70.0,49.0,40.0,44.0,55.0,43.0,2.0,90.0,4.0,48.0,40.0,62.0
704,THE LONG WALK,Legendary,Any,Energy,Sniper Rifle,90.0,78.0,28.0,34.0,48.0,41.0,2.0,72.0,3.0,20.0,50.0,76.0
705,THE LONG WALK,Legendary,Any,Energy,Sniper Rifle,90.0,78.0,28.0,34.0,48.0,41.0,2.0,72.0,3.0,20.0,50.0,76.0
