weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Magazine,Stability,Zoom,Recoil
34,OSTEO STRIGA,Exotic,Any,Kinetic,Submachine Gun,25.0,80.0,26.0,18.0,55.0,30.0,27.0,600.0,27.0,37.0,13.0,99.0
35,THE HUCKLEBERRY,Exotic,Any,Kinetic,Submachine Gun,22.0,48.0,56.0,0.0,49.0,100.0,33.0,750.0,37.0,36.0,15.0,100.0
64,RISKRUNNER,Exotic,Any,Energy,Submachine Gun,20.0,50.0,46.0,35.0,50.0,50.0,31.0,900.0,37.0,55.0,13.0,94.0
65,TARRABAH,Exotic,Any,Energy,Submachine Gun,22.0,43.0,50.0,35.0,40.0,100.0,23.0,750.0,31.0,20.0,16.0,90.0
336,ADJUDICATOR,Legendary,Any,Kinetic,Submachine Gun,25.0,56.0,21.0,16.0,54.0,30.0,12.0,600.0,27.0,40.0,13.0,93.0
337,ANTIOPE-D,Legendary,Any,Kinetic,Submachine Gun,25.0,59.0,18.0,19.0,58.0,30.0,12.0,600.0,26.0,32.0,13.0,90.0
338,ANTIOPE-D,Legendary,Any,Kinetic,Submachine Gun,25.0,59.0,18.0,19.0,58.0,30.0,12.0,600.0,26.0,32.0,13.0,90.0
339,ATALANTA-D,Legendary,Any,Kinetic,Submachine Gun,25.0,47.0,23.0,19.0,54.0,21.0,12.0,600.0,27.0,39.0,13.0,82.0
340,ATALANTA-D XG1992,Legendary,Any,Kinetic,Submachine Gun,25.0,47.0,23.0,19.0,54.0,21.0,12.0,600.0,27.0,39.0,13.0,82.0
341,BEIDENHANDER,Legendary,Any,Kinetic,Submachine Gun,25.0,49.0,24.0,21.0,56.0,29.0,12.0,600.0,26.0,37.0,15.0,94.0
342,BLOOD FEUD,Legendary,Any,Kinetic,Submachine Gun,22.0,37.0,48.0,21.0,30.0,31.0,19.0,750.0,27.0,11.0,14.0,97.0
343,COLD FRONT,Legendary,Any,Kinetic,Submachine Gun,22.0,40.0,53.0,19.0,29.0,34.0,12.0,750.0,27.0,7.0,13.0,92.0
344,ENYO-D,Legendary,Any,Kinetic,Submachine Gun,25.0,49.0,25.0,18.0,55.0,24.0,13.0,600.0,27.0,37.0,15.0,87.0
345,ESCAPE VELOCITY,Legendary,Any,Kinetic,Submachine Gun,15.0,24.0,70.0,24.0,45.0,70.0,12.0,900.0,37.0,32.0,14.0,80.0
346,ESCAPE VELOCITY,Legendary,Any,Kinetic,Submachine Gun,15.0,24.0,70.0,24.0,45.0,70.0,12.0,900.0,37.0,32.0,13.0,80.0
347,EXIT STRATEGY,Legendary,Any,Kinetic,Submachine Gun,20.0,37.0,50.0,51.0,47.0,40.0,12.0,900.0,33.0,42.0,13.0,97.0
348,EXTRAORDINARY RENDITION,Legendary,Any,Kinetic,Submachine Gun,22.0,42.0,55.0,22.0,34.0,35.0,12.0,750.0,28.0,8.0,15.0,97.0
349,FORENSIC NIGHTMARE,Legendary,Any,Kinetic,Submachine Gun,25.0,50.0,21.0,17.0,52.0,24.0,23.0,600.0,27.0,38.0,13.0,91.0
350,FRICTION FIRE,Legendary,Any,Kinetic,Submachine Gun,25.0,51.0,21.0,18.0,52.0,22.0,12.0,600.0,26.0,37.0,15.0,85.0
351,HARD TRUTHS,Legendary,Any,Kinetic,Submachine Gun,22.0,39.0,47.0,20.0,27.0,33.0,12.0,750.0,27.0,6.0,13.0,80.0
352,IMMINENT STORM,Legendary,Any,Kinetic,Submachine Gun,22.0,34.0,48.0,20.0,32.0,47.0,12.0,750.0,28.0,29.0,13.0,95.0
353,MOTION TO SUPPRESS,Legendary,Any,Kinetic,Submachine Gun,15.0,34.0,69.0,31.0,58.0,68.0,12.0,900.0,31.0,48.0,13.0,98.0
354,MULTIMACH CCX,Legendary,Any,Kinetic,Submachine Gun,15.0,29.0,70.0,26.0,55.0,64.0,12.0,900.0,36.0,38.0,13.0,100.0
355,MULTIMACH CCX,Legendary,Any,Kinetic,Submachine Gun,15.0,29.0,70.0,26.0,55.0,64.0,12.0,900.0,36.0,38.0,13.0,100.0
356,NEW CITY,Legendary,Any,Kinetic,Submachine Gun,20.0,43.0,52.0,48.0,45.0,43.0,12.0,900.0,33.0,43.0,13.0,81.0
357,PILLAGER,Legendary,Any,Kinetic,Submachine Gun,15.0,32.0,70.0,30.0,57.0,64.0,12.0,900.0,37.0,42.0,13.0,97.0
358,PIZZICATO-22,Legendary,Any,Kinetic,Submachine Gun,20.0,43.0,61.0,50.0,45.0,40.0,22.0,900.0,34.0,50.0,14.0,90.0
359,SUBMISSION,Legendary,Any,Kinetic,Submachine Gun,15.0,29.0,70.0,29.0,58.0,65.0,27.0,900.0,37.0,45.0,15.0,100.0
360,SUBMISSION (ADEPT),Legendary,Any,Kinetic,Submachine Gun,15.0,29.0,70.0,29.0,58.0,65.0,27.0,900.0,37.0,45.0,15.0,100.0
361,THE CONQUEROR 2,Legendary,Any,Kinetic,Submachine Gun,20.0,41.0,51.0,55.0,50.0,49.0,12.0,900.0,34.0,47.0,13.0,94.0
362,THE SHOWRUNNER,Legendary,Any,Kinetic,Submachine Gun,15.0,28.0,60.0,27.0,59.0,64.0,12.0,900.0,36.0,35.0,13.0,91.0
363,TRACKLESS WASTE,Legendary,Any,Kinetic,Submachine Gun,20.0,40.0,45.0,50.0,52.0,40.0,12.0,900.0,34.0,49.0,13.0,85.0
714,BAD REPUTATION,Legendary,Any,Energy,Submachine Gun,25.0,53.0,20.0,15.0,51.0,24.0,12.0,600.0,27.0,35.0,13.0,99.0
715,BORROWED TIME,Legendary,Any,Energy,Submachine Gun,22.0,37.0,52.0,22.0,38.0,38.0,12.0,750.0,26.0,18.0,15.0,82.0
716,BREATH OF THE DRAGON,Legendary,Any,Energy,Submachine Gun,15.0,24.0,62.0,26.0,50.0,63.0,12.0,900.0,36.0,41.0,13.0,93.0
717,BUG-OUT BAG,Legendary,Any,Energy,Submachine Gun,20.0,38.0,47.0,47.0,46.0,42.0,12.0,900.0,32.0,39.0,13.0,88.0
718,CALUS MINI-TOOL,Legendary,Any,Energy,Submachine Gun,15.0,30.0,65.0,31.0,49.0,70.0,12.0,900.0,37.0,49.0,13.0,80.0
719,CALUS MINI-TOOL,Legendary,Any,Energy,Submachine Gun,15.0,30.0,65.0,31.0,49.0,70.0,28.0,900.0,37.0,49.0,14.0,80.0
720,DEATH ADDER,Legendary,Any,Energy,Submachine Gun,15.0,29.0,60.0,26.0,55.0,63.0,12.0,900.0,37.0,35.0,13.0,95.0
721,DEATH ADDER,Legendary,Any,Energy,Submachine Gun,15.0,29.0,60.0,26.0,55.0,63.0,12.0,900.0,37.0,35.0,13.0,95.0
722,EVERY WAKING MOMENT,Legendary,Any,Energy,Submachine Gun,25.0,49.0,22.0,18.0,56.0,21.0,12.0,600.0,26.0,38.0,14.0,91.0
723,FOGGY NOTION,Legendary,Any,Energy,Submachine Gun,20.0,41.0,51.0,43.0,48.0,50.0,12.0,900.0,34.0,45.0,13.0,91.0
724,FUNNELWEB,Legendary,Any,Energy,Submachine Gun,15.0,39.0,70.0,31.0,54.0,45.0,20.0,900.0,36.0,44.0,14.0,96.0
725,IKELOS_SMG_V1.0.1,Legendary,Any,Energy,Submachine Gun,22.0,49.0,70.0,24.0,42.0,45.0,12.0,750.0,30.0,32.0,13.0,90.0
726,IKELOS_SMG_V1.0.2,Legendary,Any,Energy,Submachine Gun,22.0,44.0,62.0,24.0,37.0,45.0,12.0,750.0,30.0,25.0,14.0,90.0
727,MIDA MINI-TOOL,Legendary,Any,Energy,Submachine Gun,15.0,30.0,65.0,31.0,49.0,70.0,28.0,900.0,37.0,49.0,14.0,80.0
728,MOB JUSTICE,Legendary,Any,Energy,Submachine Gun,20.0,40.0,54.0,50.0,47.0,40.0,12.0,900.0,34.0,38.0,13.0,80.0
729,OUT OF BOUNDS,Legendary,Any,Energy,Submachine Gun,15.0,32.0,67.0,28.0,55.0,47.0,23.0,900.0,36.0,43.0,14.0,95.0
730,OUT OF OPTIONS,Legendary,Any,Energy,Submachine Gun,15.0,28.0,55.0,25.0,50.0,55.0,12.0,900.0,37.0,31.0,13.0,100.0
731,PHOSPHORUS MG4,Legendary,Any,Energy,Submachine Gun,15.0,30.0,59.0,31.0,54.0,50.0,12.0,900.0,35.0,39.0,13.0,90.0
732,RADIANT STARDUST,Legendary,Any,Energy,Submachine Gun,15.0,26.0,62.0,28.0,49.0,59.0,12.0,900.0,36.0,39.0,13.0,100.0
733,RED MAMBA,Legendary,Any,Energy,Submachine Gun,15.0,25.0,64.0,30.0,53.0,67.0,12.0,900.0,36.0,34.0,13.0,92.0
734,RESONANCE-42,Legendary,Any,Energy,Submachine Gun,20.0,36.0,55.0,47.0,45.0,45.0,12.0,900.0,34.0,42.0,13.0,90.0
735,ROYAL DISPENSATION II,Legendary,Any,Energy,Submachine Gun,20.0,37.0,59.0,49.0,45.0,40.0,12.0,900.0,33.0,49.0,13.0,90.0
736,SEVENTH SERAPH VY-7,Legendary,Any,Energy,Submachine Gun,25.0,54.0,20.0,19.0,57.0,30.0,12.0,600.0,27.0,42.0,14.0,91.0
737,SHAYURA'S WRATH,Legendary,Any,Energy,Submachine Gun,25.0,59.0,27.0,24.0,60.0,24.0,25.0,600.0,27.0,44.0,15.0,95.0
738,SHAYURA'S WRATH (ADEPT),Legendary,Any,Energy,Submachine Gun,25.0,59.0,27.0,24.0,60.0,24.0,25.0,600.0,27.0,44.0,15.0,95.0
739,SOL PARIAH 6,Legendary,Any,Energy,Submachine Gun,15.0,31.0,57.0,29.0,50.0,60.0,12.0,900.0,37.0,48.0,13.0,89.0
