weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks/0,Perks/1,Perks/2,Perks/3,Perks/4,Perks/5,Perks/6,Perks/7,Perks/8,Perks/9,Perks/10,Perks/11,Perks/12,Perks/13,Perks/14,Perks/15,Perks/16,Perks/17,Perks/18,Perks/19,Perks/20,Perks/21,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Perks/22,Perks/23,Perks/24,Perks/25,Perks/26,Perks/27,Perks/28,Perks/29,Perks/30,Perks/31,Perks/32,Perks/33,Perks/34,Perks/35,Perks/36,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity,Perks/37,Perks/38,Perks/39,Perks/40,Perks/41,Perks/42,Perks/43,Perks/44,Perks/45,Perks/46,Perks/47,Perks/48,Perks/49,Perks/50,Perks/51,Perks/52,Perks/53,Perks/54,Perks/55,Perks/56,Perks/57,Perks/58,Perks/59,Perks/60,Perks/61,Perks/62,Perks/63,Perks/64,Perks/65,Perks/66
2535142413,EDGE OF ACTION,Exotic,Titan,Energy,Glaive,80,40,80,40,25,30,30,7,55,80,4,Edge of Action,Low-Impedance Windings,Appended Mag,Remote Shield,Edge of Action,Low-Impedance Windings,Ballistic Tuning,Tempered Truss Rod,Supercooled Accelerator,Auxiliary Reserves,Lightweight Emitter,Alloy Magazine,Extended Mag,Appended Mag,Accurized Rounds,Swap Mag,Light Mag,Remote Shield,Hand-Laid Stock,Composite Stock,Fitted Stock,Short-Action Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542203595,EDGE OF CONCURRENCE,Exotic,Hunter,Energy,Glaive,55,55,20,55,80,75,70,9,80,20,6,Edge of Concurrence,Tempered Truss Rod,Accurized Rounds,Lightning Seeker,Edge of Concurrence,Low-Impedance Windings,Ballistic Tuning,Tempered Truss Rod,Supercooled Accelerator,Auxiliary Reserves,Lightweight Emitter,Alloy Magazine,Extended Mag,Appended Mag,Accurized Rounds,Swap Mag,Light Mag,Lightning Seeker,Hand-Laid Stock,Composite Stock,Fitted Stock,Short-Action Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14194600,EDGE OF INTENT,Exotic,Warlock,Energy,Glaive,95,70,70,30,45,50,50,12,45,70,3,Edge of Intent,Supercooled Accelerator,Alloy Magazine,Restorative Turret,Edge of Intent,Low-Impedance Windings,Ballistic Tuning,Tempered Truss Rod,Supercooled Accelerator,Auxiliary Reserves,Lightweight Emitter,Alloy Magazine,Extended Mag,Appended Mag,Accurized Rounds,Swap Mag,Light Mag,Restorative Turret,Hand-Laid Stock,Composite Stock,Fitted Stock,Short-Action Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541131350,CERBERUS+1,Exotic,Any,Kinetic,Auto Rifle,33,0,,32,35,60,59,16,360,,31,Four-Headed Dog,Rifled Barrel,Fluted Barrel,Full Bore,Spread Shot Package,Four-Headed Mongrel,,,,,,,,,,,,,,,,,25,16,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4068264807,MONTE CARLO,Exotic,Any,Kinetic,Auto Rifle,21,45,,60,79,50,52,29,600,,43,Monte Carlo Method,Fluted Barrel,High-Caliber Rounds,Markov Chain,Composite Stock,What If,Merry Maker,Western Front,,,,,,,,,,,,,,,55,15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4293613902,QUICKSILVER STORM,Exotic,Any,Kinetic,Auto Rifle,18,40,,48,54,83,59,26,720,,51,Rocket Tracers,Corkscrew Rifling,High-Caliber Rounds,Grenade Chaser,Hand-Laid Stock,,,,,,,,,,,,,,,,,,85,16,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856683562,SUROS REGIME,Exotic,Any,Kinetic,Auto Rifle,21,45,,64,63,68,0,31,600,,25,SUROS Legacy,Hammer-Forged Rifling,Tactical Mag,Spinning Up,Dual Speed Receiver,Hand-Laid Stock,Coup de Main,Gray Nitrite,SUROS Chrome,Standard Bearer,,,,,,,,,,,,,43,16,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345867570,SWEET BUSINESS,Exotic,Any,Kinetic,Auto Rifle,18,30,,0,0,80,80,32,360,,45,Payday,Polygonal Rifling,Armor-Piercing Rounds,Business Time,Composite Stock,Down to Business,Go About Your Business,Corporate Sponsorship,,,,,,,,,,,,,,,40,16,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814876684,WISH-ENDER,Exotic,Any,Kinetic,Combat Bow,92,,,40,30,51,50,19,,,,Queen's Wrath,High Tension String,Anti-Taken Fletching,Broadhead,Author of Devastation,,,,,,,,,,,,,,,,,,90,18,60,60,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415517654,BASTION,Exotic,Any,Kinetic,Fusion Rifle,80,25,,27,24,65,30,3,,780,5,Saint's Fists,Hammer-Forged Rifling,Liquid Coils,Breakthrough,Composite Stock,Bloodline Memorial,,,,,,,,,,,,,,,,,47,15,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
