Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity
EDGE OF ACTION,Exotic,Titan,Energy,Glaive,80.0,40.0,80.0,40.0,25.0,30.0,30.0,7.0,55.0,80.0,4.0,"['Edge of Action', 'Low-Impedance Windings', 'Appended Mag', 'Remote Shield', 'Edge of Action', 'Low-Impedance Windings', 'Ballistic Tuning', 'Tempered Truss Rod', 'Supercooled Accelerator', 'Auxiliary Reserves', 'Lightweight Emitter', 'Alloy Magazine', 'Extended Mag', 'Appended Mag', 'Accurized Rounds', 'Swap Mag', 'Light Mag', 'Remote Shield', 'Hand-Laid Stock', 'Composite Stock', 'Fitted Stock', 'Short-Action Stock']",,,,,,,,,,,,
EDGE OF CONCURRENCE,Exotic,Hunter,Energy,Glaive,55.0,55.0,20.0,55.0,80.0,75.0,70.0,9.0,80.0,20.0,6.0,"['Edge of Concurrence', 'Tempered Truss Rod', 'Accurized Rounds', 'Lightning Seeker', 'Edge of Concurrence', 'Low-Impedance Windings', 'Ballistic Tuning', 'Tempered Truss Rod', 'Supercooled Accelerator', 'Auxiliary Reserves', 'Lightweight Emitter', 'Alloy Magazine', 'Extended Mag', 'Appended Mag', 'Accurized Rounds', 'Swap Mag', 'Light Mag', 'Lightning Seeker', 'Hand-Laid Stock', 'Composite Stock', 'Fitted Stock', 'Short-Action Stock']",,,,,,,,,,,,
EDGE OF INTENT,Exotic,Warlock,Energy,Glaive,95.0,70.0,70.0,30.0,45.0,50.0,50.0,12.0,45.0,70.0,3.0,"['Edge of Intent', 'Supercooled Accelerator', 'Alloy Magazine', 'Restorative Turret', 'Edge of Intent', 'Low-Impedance Windings', 'Ballistic Tuning', 'Tempered Truss Rod', 'Supercooled Accelerator', 'Auxiliary Reserves', 'Lightweight Emitter', 'Alloy Magazine', 'Extended Mag', 'Appended Mag', 'Accurized Rounds', 'Swap Mag', 'Light Mag', 'Restorative Turret', 'Hand-Laid Stock', 'Composite Stock', 'Fitted Stock', 'Short-Action Stock']",,,,,,,,,,,,
CERBERUS+1,Exotic,Any,Kinetic,Auto Rifle,33.0,0.0,,32.0,35.0,60.0,59.0,16.0,360.0,,31.0,"['Four-Headed Dog', 'Rifled Barrel', 'Fluted Barrel', 'Full Bore', 'Spread Shot Package', 'Four-Headed Mongrel']",25.0,16.0,86.0,,,,,,,,,
MONTE CARLO,Exotic,Any,Kinetic,Auto Rifle,21.0,45.0,,60.0,79.0,50.0,52.0,29.0,600.0,,43.0,"['Monte Carlo Method', 'Fluted Barrel', 'High-Caliber Rounds', 'Markov Chain', 'Composite Stock', 'What If', 'Merry Maker', 'Western Front']",55.0,15.0,80.0,,,,,,,,,
QUICKSILVER STORM,Exotic,Any,Kinetic,Auto Rifle,18.0,40.0,,48.0,54.0,83.0,59.0,26.0,720.0,,51.0,"['Rocket Tracers', 'Corkscrew Rifling', 'High-Caliber Rounds', 'Grenade Chaser', 'Hand-Laid Stock']",85.0,16.0,88.0,,,,,,,,,
SUROS REGIME,Exotic,Any,Kinetic,Auto Rifle,21.0,45.0,,64.0,63.0,68.0,0.0,31.0,600.0,,25.0,"['SUROS Legacy', 'Hammer-Forged Rifling', 'Tactical Mag', 'Spinning Up', 'Dual Speed Receiver', 'Hand-Laid Stock', 'Coup de Main', 'Gray Nitrite', 'SUROS Chrome', 'Standard Bearer']",43.0,16.0,50.0,,,,,,,,,
SWEET BUSINESS,Exotic,Any,Kinetic,Auto Rifle,18.0,30.0,,0.0,0.0,80.0,80.0,32.0,360.0,,45.0,"['Payday', 'Polygonal Rifling', 'Armor-Piercing Rounds', 'Business Time', 'Composite Stock', 'Down to Business', 'Go About Your Business', 'Corporate Sponsorship']",40.0,16.0,100.0,,,,,,,,,
WISH-ENDER,Exotic,Any,Kinetic,Combat Bow,92.0,,,40.0,30.0,51.0,50.0,19.0,,,,"[""Queen's Wrath"", 'High Tension String', 'Anti-Taken Fletching', 'Broadhead', 'Author of Devastation']",90.0,18.0,60.0,60.0,780.0,,,,,,,
BASTION,Exotic,Any,Kinetic,Fusion Rifle,80.0,25.0,,27.0,24.0,65.0,30.0,3.0,,780.0,5.0,"[""Saint's Fists"", 'Hammer-Forged Rifling', 'Liquid Coils', 'Breakthrough', 'Composite Stock', 'Bloodline Memorial']",47.0,15.0,75.0,,,,,,,,,
